ÃÄ«~¥N½X,ÃÄ«~¦WºÙ,¼Æ¶q
A056719100,LOSARTAN 50MG + HYDROCHLOROTHIAZIDE 0-12.5MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯,0
A056782100,BUPROPION ¡A ½wÄÀ¿õ¾¯½¦Ån¾¯ ¡A 150.00 MG,56
A056784100,CALCIUM CITRATE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 950.00 MG,0
A057115100,FEXOFENADINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 60.00 MG,0
A0571353AK,PIROXICAM ¡A ¥~¥Î³n»I¾¯ ¡A 10.00  MG/GM ¡A 22.00 GM,96
A057169116,DIOCTAHEDRAL SMECTITE (=DIOSMECTITE) ¡A ¤fªAÁû²É¾¯ ¡A 3.00 GM,9786.8
A057183100,BENPROPERINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 20.00 MG,0
A057280100,FEXOFENADINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 60.00 MG,0
A057373100,SULFINPYRAZONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 200.00 MG,175
A057770145,BUDESONIDE ¡A ¤f»ó¼QÃú/§l¤J¾¯ ¡A 200 MCG/DOSE ¡A 200.00 ¡A DOSE,0
A057775100,DEXTROMETHORPHAN ¡A ½wÄÀ¿õ¾¯½¦Ån¾¯ ¡A 60.00 MG,271
A057789100,IBUPROFEN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 400.00 MG,0
A057832421,BETAMETHASONE ¡A ²´¥Î²G¾¯ ¡A 1.00  MG/ML ¡A 5.00 ML,0
A057999209,DIPHENHYDRAMINE ¡A ª`®g¾¯ ¡A 30.00 MG(= DIMENHYDRINATE 60.00MG),0
A058129421,TETRACYCLINE ¡A ²´¦Õ»ó¥Î³n»I ¡A 10.00  MG/GM ¡A 5.00 GM,0
AA01085209,SODIUM CHLORIDE ¡A ª`®g¾¯ ¡A 9.00  MG/ML ¡A 1000.00 ML,622690.4
AA01085255,SODIUM CHLORIDE ¡A ª`®g¾¯ ¡A 9.00  MG/ML ¡A 100.00 ML,95930.4
AA01085265,SODIUM CHLORIDE ¡A ª`®g¾¯ ¡A 9.00  MG/ML ¡A 250.00 ML,237741.8
AA01085277,SODIUM CHLORIDE ¡A ª`®g¾¯ ¡A 9.00  MG/ML ¡A 500.00 ML,4844068.6
AA01086209,DEXTROSE 100 MG/ML ¡Ó MULTIVITAMINES ¡A ª`®g¾¯ ¡A 501-1000 ML,1932
AA01086277,DEXTROSE 100 MG/ML ¡Ó MULTIVITAMINES ¡A ª`®g¾¯ ¡A 251-500 ML,95970.4
AA10654277,SODIUM CHLORIDE ¡A ª`®g¾¯ ¡A 9.00  MG/ML ¡A 500.00 ML,5509789.7
AA11711277,DEXTROSE 100 MG/ML ¡Ó MULTIVITAMINES ¡A ª`®g¾¯ ¡A 251-500 ML,58671
AA12986277,DEXTROSE¡Ø  50MG/ML  + SODIUM CHLORIDE 3.0-4.5MG/ML¡A ª`®g¾¯¡A 251-500 ML,111718
AA13718277,DEXTROSE¡Ø  50MG/ML  + SODIUM CHLORIDE 3.0-4.5MG/ML¡A ª`®g¾¯¡A 251-500 ML,407197
AA19280209,CEFAZOLIN (=CEPHAZOLIN) ¡A ª`®g¾¯ ¡A 1000.00 MG,1085.1
AA19280277,CEFAZOLIN (=CEPHAZOLIN) ¡A ª`®g¾¯ ¡A 500.00 MG,1
AA20591277,DEXTROSE¡Ø  50MG/ML  + SODIUM CHLORIDE 3.0-4.5MG/ML¡A ª`®g¾¯¡A 251-500 ML,105831
AA24516209,SODIUM CHLORIDE ¡A ª`®g¾¯ ¡A 9.00  MG/ML ¡A 1000.00 ML,188968
AA24516277,SODIUM CHLORIDE ¡A ª`®g¾¯ ¡A 9.00  MG/ML ¡A 500.00 ML,2748916.7
AA29836209,SODIUM CHLORIDE ¡A ª`®g¾¯ ¡A 9.00  MG/ML ¡A 1000.00 ML,50545.7
AA29836212,SODIUM CHLORIDE ¡A ª`®g¾¯ ¡A 9.00  MG/ML ¡A 2000.00 ML,14
AA29836255,SODIUM CHLORIDE ¡A ª`®g¾¯ ¡A 9.00  MG/ML ¡A 100.00 ML,2259597.8
AA29836265,SODIUM CHLORIDE ¡A ª`®g¾¯ ¡A 9.00  MG/ML ¡A 250.00 ML,1367822.8
AA29836277,SODIUM CHLORIDE ¡A ª`®g¾¯ ¡A 9.00  MG/ML ¡A 500.00 ML,1856469.3
AA36015345,ETOFENAMATE ¡A ¥~¥Î³n»I¾¯ ¡A 100.00  MG/GM ¡A 40.00 GM,492963.4
AA36176277,SODIUM CHLORIDE ¡A ª`®g¾¯ ¡A 4.50  MG/ML ¡A 500.00 ML,85929.5
AA36418229,DOXORUBICIN ¡A ª`®g¾¯ ¡A 10.00 MG,26478
AA38330277,SODIUM CHLORIDE ¡A ª`®g¾¯ ¡A 30.00  MG/ML ¡A 500.00 ML,53549.6
AA39604209,SODIUM CHLORIDE ¡A ª`®g¾¯ ¡A 4.50  MG/ML ¡A 1000.00 ML,96
AA39604265,SODIUM CHLORIDE ¡A ª`®g¾¯ ¡A 4.50  MG/ML ¡A 250.00 ML,11
AA39604277,SODIUM CHLORIDE ¡A ª`®g¾¯ ¡A 4.50  MG/ML ¡A 500.00 ML,337093.5
AA42704100,AMLODIPINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 5.00 MG,11523441
AA43124429,DICLOFENAC ¡A ²´¥Î²G¾¯ ¡A 1.00  MG/ML ¡A 10.00 ML,11275
AA44508229,OXALIPLATIN ¡A ª`®g¾¯ ¡A 50.00 MG,119645.7
AA44508238,OXALIPLATIN ¡A ª`®g¾¯ ¡A 100.00 MG,9242
AA44598377,SODIUM CHLORIDE ¡A ¥~¥Î²G¾¯ ¡A 9.00  MG/ML ¡A 500.00 ML,1759
AA45670100,AMLODIPINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 5.00 MG,93565
AA46640100,GLIMEPIRIDE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 2.00 MG,189
AA47170212,IRINOTECAN ¡A ª`®g¾¯ ¡A 40.00 MG,8663
AA47170221,IRINOTECAN ¡A ª`®g¾¯ ¡A 100.00 MG,71920
AA47469100,DONEPEZIL ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 5.00 MG,661807.5
AA47702100,MONTELUKAST ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 5.00 MG,530720.5
AA47792151,LACTULOSE ¡A ¤fªA²G¾¯ ¡A 60.00 ML  600-667MG/ML,159402.8
AA47813100,MONTELUKAST ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 10.00 MG,1863768
AA47960100,MONTELUKAST ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯/Áû²É¾¯ ¡A 4.00 MG,542639
AA48007100,PIOGLITAZONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 30.00 MG,0
AA48161145,VALPROIC ACID ¡A ¤fªA²G¾¯ ¡A 200.00  MG/ML ¡A 40.00 ML,52370.8
AA48161154,VALPROIC ACID ¡A ¤fªA²G¾¯ ¡A 200.00  MG/ML ¡A 90.00 ML,39
AA48333100,PIOGLITAZONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 30.00 MG,3660434.8
AA48334100,MIRTAZAPINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 30.00 MG,2624969.1
AA48352143,RISPERIDONE ¡A ¤fªA²G¾¯ ¡A 1.00  MG/ML ¡A 30.00 ML,88900.3
AA48661100,ESCITALOPRAM OXALATE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 20.00 MG,263332
AA48730100,CLOPIDOGREL 75MG + ACETYLSALICYLIC ACID 0-100MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯,7073925
AA48757100,LOSARTAN 50MG + HYDROCHLOROTHIAZIDE 0-12.5MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯,68513
AA48879100,ATORVASTATIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 10.00 MG,667
AA49097100,AMISULPRIDE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 200.00 MG,327624.1
AA49116100,PIOGLITAZONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 30.00 MG,4884653.5
AA49226100,ATORVASTATIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 20.00 MG,759
AA49288100,ATORVASTATIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 40.00 MG,374540.3
AA49344100,CLOPIDOGREL 75MG + ACETYLSALICYLIC ACID 0-100MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯,1900885
AA49429100,PIOGLITAZONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 30.00 MG,2917287.5
AA49453100,VENLAFAXINE ¡A ½wÄÀ¿õ¾¯½¦Ån¾¯ ¡A 75.00 MG,28
AA49500100,PIOGLITAZONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 15.00 MG,5060421
AA49543100,ATORVASTATIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 10.00 MG,7583485.2
AA49610100,LOSARTAN 50MG + HYDROCHLOROTHIAZIDE 0-12.5MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯,0
AA49629100,ESCITALOPRAM OXALATE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 10.00 MG,38650264.7
AA49805100,VENLAFAXINE ¡A ½wÄÀ¿õ¾¯½¦Ån¾¯ ¡A 75.00 MG,968991
AA49835100,LOSARTAN 50MG + HYDROCHLOROTHIAZIDE 0-12.5MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯,0
AA49920100,DOXAZOSIN ¡A ½wÄÀ¿õ¾¯½¦Ån¾¯ ¡A 4.00 MG,13770349.3
AA49930100,PIOGLITAZONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 30.00 MG,14050114.1
AA51598100,ATORVASTATIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 10.00 MG,0
AA52337100,mitiglinide¡A¤@¯ë¿õ¾¯½¦Ån¾¯¡A10.00 MG,4257675.6
AA52339219,ZOLEDRONIC ACID ¡A ª`®g¾¯ ¡A 4.00 MG,833
AA55020219,ZOLEDRONIC ACID ¡A ª`®g¾¯ ¡A 4.00 MG,2154
AA55113206,DOCETAXEL ¡A ª`®g¾¯ ¡A 20.00 MG,84
AA55113212,DOCETAXEL ¡A ª`®g¾¯ ¡A 80.00 MG,116
AA55268100,ATORVASTATIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 40.00 MG,28
AA55417100,VENLAFAXINE ¡A ½wÄÀ¿õ¾¯½¦Ån¾¯ ¡A 37.50 MG,3390592.3
AA55545261,LEVOFLOXACIN ¡A ª`®g¾¯ ¡A 750.00 MG,74424.8
AA55904100,ARIPIPRAZOLE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 10-15MG,1241141.9
AA56320100,VALSARTAN 80MG + HYDROCHLOROTHIAZIDE 0-12.5MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯,0
AA56639100,ESCITALOPRAM OXALATE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 10.00 MG,104
AA56680100,OLANZAPINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 5.00 MG,3936862.1
AA56739100,ATORVASTATIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 20.00 MG,758138
AA56761100,MIRTAZAPINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 30.00 MG,6861942.6
AA56776100,DULOXETINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 30.00 MG,14769830.2
AA56787100,OLANZAPINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 10.00 MG,46405.5
AA56799100,OLANZAPINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 10.00 MG,356675.5
AA57140100,CLOPIDOGREL 75MG + ACETYLSALICYLIC ACID 0-100MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯,506661
AA57191255,LEVOFLOXACIN ¡A ª`®g¾¯ ¡A 500.00 MG,928
AA57213100,OLANZAPINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 10.00 MG,776476.1
AA57237100,LOSARTAN 50MG + HYDROCHLOROTHIAZIDE 0-12.5MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯,0
AA57320100,ARIPIPRAZOLE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 10-15MG,232047.5
AA57321100,OLANZAPINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 10.00 MG,1282432.9
AA57322100,ENTECAVIR ¤@¯ë¿õ¾¯½¦Ån¾¯¡A0.5MG,2802861.1
AA57343100,VALSARTAN 160MG + HYDROCHLOROTHIAZIDE 0-25MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯,0
AA57364100,ARIPIPRAZOLE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 10-15MG,64161.5
AA57372100,PITAVASTATIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 2.00 MG,9131741.9
AA57409100,OLANZAPINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 10.00 MG,438697.8
AA57743100,DULOXETINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 60.00 MG,943862
AA57769100,PIOGLITAZONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 15.00 MG,8630702.3
AA57770145,BUDESONIDE ¡A ¤f»ó¼QÃú/§l¤J¾¯ ¡A 200 MCG/DOSE ¡A 200.00 ¡A DOSE,65139.2
AA57774100,ATORVASTATIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 10.00 MG,3973355.5
AA57786100,ENTECAVIR ¤@¯ë¿õ¾¯½¦Ån¾¯¡A0.5MG,75384
AA57802100,ROSUVASTATIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 10.00 MG,25771616.6
AA57829100,QUETIAPINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 100.00 MG,129254.5
AA57838100,DOXAZOSIN ¡A ½wÄÀ¿õ¾¯½¦Ån¾¯ ¡A 4.00 MG,1792956.3
AA57843100,ROSUVASTATIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 5.00 MG,25344888.9
AA57880100,ROSUVASTATIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 10.00 MG,0
AA579194E5,TRIAMCINOLONE ¡A ¦Õ»ó¥Î²G¾¯ ¡A 0.55 MG/GM¡A 120.00 ¡A DOSE,340478
AA57930100,ATORVASTATIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 10.00 MG,0
AA57950100,ATORVASTATIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 20.00 MG,2181888.5
AA57956221,LEVETIRACETAM ¡A ª`®g¾¯ ¡A 500.00 MG,85454.4
AA57974100,PANTOPRAZOLE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 40.00 MG,0
AA57995100,OLANZAPINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 10.00 MG,299114
AA58005209,DEXTROSE 50MG/ML ¡Ó MULTIVITAMINES¡A ª`®g¾¯¡A 501-1000ML,37489
AA58005255,DEXTROSE ¡A ª`®g¾¯ ¡A 50.00  MG/ML ¡A 100.00 ML,11269
AA58005265,DEXTROSE 50MG/ML ¡Ó MULTIVITAMINES¡A ª`®g¾¯¡A 200-250ML,284210.6
AA58005277,DEXTROSE 50MG/ML ¡Ó MULTIVITAMINES¡A ª`®g¾¯¡A 251-500ML,422550.2
AA58033238,FLUOROURACIL ¡A ª`®g¾¯ ¡A 1000.00 MG,734219.9
AA58091100,ENTECAVIR ¤@¯ë¿õ¾¯½¦Ån¾¯¡A0.5MG,132494
AA58106100,QUETIAPINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 200.00 MG,5542
AA58112100,VALSARTAN 80MG + AMLODIPINE 5MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯¡A,2208490
AA58181100,DULOXETINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 30.00 MG,1174584
AA58233100,OLANZAPINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 5.00 MG,565766.1
AA58268100,CANDESARTAN 8MG + HYDROCHLOROTHIAZIDE 0-12.5MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯,5230481.9
AA58282100,ROSUVASTATIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 10.00 MG,0
AA58292100,PREGABALIN  ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 75.00 MG,2991179
AA58542100,ENTECAVIR ¤@¯ë¿õ¾¯½¦Ån¾¯¡A0.5MG,232557
AA58570100,VALSARTAN 80MG + AMLODIPINE 5MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯¡A,891165
AA58628100,QUETIAPINE ¡A ½wÄÀ¿õ¾¯½¦Ån¾¯ ¡A 200 MG,348428.1
AA58648100,PITAVASTATIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 2.00 MG,15775662.9
AB01641100,CYPROHEPTADINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 4.00 MG,3435783
AB01673100,CINNARIZINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 25.00 MG,702835.9
AB016731G0,CINNARIZINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 25.00 MG,8895792.6
AB02368100,FUROSEMIDE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 40.00 MG,0
AB023681G0,FUROSEMIDE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 40.00 MG,0
AB03318100,METOCLOPRAMIDE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 3.84-5.00 MG,5434653.9
AB033181G0,METOCLOPRAMIDE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 3.84-5.00 MG,46169880.2
AB03388100,HYDROCHLOROTHIAZIDE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 50.00 MG,103476.6
AB033881G0,HYDROCHLOROTHIAZIDE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 50.00 MG,708405.5
AB03389100,ACETAZOLAMIDE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,1382543.5
AB03552212,METOCLOPRAMIDE ¡A ª`®g¾¯ ¡A 10.00 MG,691470.2
AB03976100,BISMUTH SUBCARBONATE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 324.00 MG,279
AB07140100,CHLORZOXAZONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,1219082
AB071401G0,CHLORZOXAZONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,4266246.4
AB07641100,DEXTROMETHORPHAN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 30.00 MG,440846.1
AB08642209,BUTYLSCOPOLAMINE ¡A ª`®g¾¯ ¡A 20.00 MG,47421.8
AB08774100,MEFENAMIC ACID ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 500.00 MG,4763291.5
AB09102100,PROPRANOLOL ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 10.00 MG,15293040.4
AB091021G0,PROPRANOLOL ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 10.00 MG,124187726.8
AB13578209,TRIAMCINOLONE ¡A ª`®g¾¯ ¡A 10.00 MG,285400.1
AB13578221,TRIAMCINOLONE ¡A ª`®g¾¯ ¡A 50.00 MG,16751.6
AB13578229,TRIAMCINOLONE ¡A ª`®g¾¯ ¡A 100.00 MG,21561.1
AB14154100,ALLOPURINOL ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 100.00 MG,195479
AB141541G0,ALLOPURINOL ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 100.00 MG,4129329.8
AB14184100,PREDNISOLONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 5.00 MG,115870.1
AB14422143,CYPROHEPTADINE ¡A ¤fªA²G¾¯ ¡A 0.40  MG/ML ¡A 30.00 ML,545.8
AB14422151,CYPROHEPTADINE ¡A ¤fªA²G¾¯ ¡A 0.40  MG/ML ¡A 60.00 ML,120439.1
AB14422157,CYPROHEPTADINE ¡A ¤ºªA²G¾¯ ¡A 0.40  MG/ML ¡A 120.00 ML,315.7
AB14914209,TRIAMCINOLONE ¡A ª`®g¾¯ ¡A 40.00 MG,247278.2
AB14914221,TRIAMCINOLONE ¡A ª`®g¾¯ ¡A 200.00 MG,128.6
AB14914229,TRIAMCINOLONE ¡A ª`®g¾¯ ¡A 400.00 MG,16415.2
AB15842209,CEFAZOLIN (=CEPHAZOLIN) ¡A ª`®g¾¯ ¡A 1000.00 MG,33498.7
AB16887209,DEXTROMETHORPHAN ¡A ª`®g¾¯ ¡A 10.00 MG,3966.4
AB18251100,PROPRANOLOL ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 10.00 MG,388101.5
AB182511G0,PROPRANOLOL ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 10.00 MG,49940127
AB19505209,SCOPOLAMINE ¡A ª`®g¾¯ ¡A 20.00 MG,549.5
AB198751G0,PROPRANOLOL ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 40.00 MG,5734327.8
AB19877100,ETHAMBUTOL ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 400.00 MG,606612
AB20333100,DICLOFENAC ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 25.00 MG,5346123.7
AB203331G0,DICLOFENAC ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 25.00 MG,413928.5
AB20785212,DICLOFENAC ¡A ª`®g¾¯ ¡A 50.00 MG,1974.9
AB20785216,DICLOFENAC ¡A ª`®g¾¯ ¡A 75.00 MG,47099.1
AB21199100,SULPIRIDE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 50.00 MG,2006081.1
AB211991G0,SULPIRIDE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 50.00 MG,1513267.6
AB22345100,CIMETIDINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 200.00 MG,1996336.5
AB223451G0,CIMETIDINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 200.00 MG,7478059.4
AB22903100,CIMETIDINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 200.00 MG,2291085.5
AB229031G0,CIMETIDINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 200.00 MG,1357571.9
AB22908100,SPIRONOLACTONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 25.00 MG,0
AB23008100,CIMETIDINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 200.00 MG,411144.6
AB23037100,PROPRANOLOL ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 10.00 MG,538159.4
AB230371G0,PROPRANOLOL ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 10.00 MG,42319206.7
AB23048209,CEFAZOLIN (=CEPHAZOLIN) ¡A ª`®g¾¯ ¡A 1000.00 MG,1447
AB23435216,DICLOFENAC ¡A ª`®g¾¯ ¡A 75.00 MG,27.7
AB24197100,DICLOFENAC ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 25.00 MG,1332517.5
AB241971G0,DICLOFENAC ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 25.00 MG,13200.6
AB24516255,SODIUM CHLORIDE ¡A ª`®g¾¯ ¡A 9.00  MG/ML ¡A 100.00 ML,159899.6
AB24516265,SODIUM CHLORIDE ¡A ª`®g¾¯ ¡A 9.00  MG/ML ¡A 250.00 ML,733778.6
AB24708100,CHLORZOXAZONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 200.00 MG,0
AB247081G0,CHLORZOXAZONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 200.00 MG,0
AB24924216,DICLOFENAC ¡A ª`®g¾¯ ¡A 75.00 MG,6989.8
AB25402100,CHLORZOXAZONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 200.00 MG,4234833.6
AB254021G0,CHLORZOXAZONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 200.00 MG,9814017
AB25524100,DICLOFENAC ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 50.00 MG,4220780.9
AB255241G0,DICLOFENAC ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 50.00 MG,426715.6
AB25682500,ECONAZOLE ¡A ³±¹D¥Î¿õ¾¯½¦Ån¾¯ ¡A 150.00 MG,21124
AB26442100,SEAPROSE S ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 15.00 MG,717376.7
AB26462209,PROGESTERONE ¡A ª`®g¾¯ ¡A 50.00 MG,22981.5
AB26462229,PROGESTERONE ¡A ª`®g¾¯ ¡A 500.00 MG,3043.6
AB26653100,DICLOFENAC ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 25.00 MG,1741474.9
AB27082100,OXAZOLAM ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 10.00 MG,1126151
AB270821G0,OXAZOLAM ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 10.00 MG,3769314
AB27629100,BROMOCRIPTINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 2.50 MG,2370
AB27812212,CIMETIDINE ¡A ª`®g¾¯ ¡A 200.00 MG,15
AB27928212,FUROSEMIDE ¡A ª`®g¾¯ ¡A 20.00 MG,524840.3
AB28041100,AMIODARONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 200.00 MG,2665920.1
AB28476100,DEXTROMETHORPHAN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 30.00 MG,688281.6
AB28576216,DICLOFENAC ¡A ª`®g¾¯ ¡A 75.00 MG,871.1
AB28649100,OXAZOLAM ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 10.00 MG,96599
AB286491G0,OXAZOLAM ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 10.00 MG,11680329.2
AB28656500,DICLOFENAC ¡A ®ê¾¯ ¡A 12.50 MG,1267530.6
AB28921100,PIRACETAM ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 400.00 MG,1749490
AB289211G0,PIRACETAM ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 400.00 MG,6790528.8
AB29355100,POLYMAGAL 100MG + SULCAIN 100MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯¡A,0
